frame_id,arm,seed,raw_diagonal_px,base_frame_mean_px,method_frame_mean_px,method_frame_normalized,gain_frame_px,correction_mean_px,correction_max_px,utility_mean,actual_candidate_gain_mean_px,mode_ambiguity_mean
P0__shard_06_f0541,direct,3,800.0,1.2538153201956348,3.400409768058168,0.00425051221007271,-2.146594447862533,2.6982493602218582,4.869306012261831,0.06854851637035608,-4.364903450012207,0.571241540213426
P0__shard_03_f1242,direct,3,800.0,0.9905834751516867,2.3803144436242203,0.0029753930545302755,-1.3897309684725336,2.039117122689406,3.996595510756129,0.06782510162641604,-2.777836799621582,0.5325989772876104
G38__G__f4483,direct,3,800.0,1.9768603749158205,3.1186768859638563,0.0038983461074548202,-1.1418165110480358,1.3980048744077267,2.6155083383948985,0.06486403911064069,-3.3868770599365234,0.6032242973645529
G38__G__f22017,direct,3,800.0,116.60764502364425,113.04182152656534,0.14130227690820668,3.5658234970789096,4.18975236968911,8.000000060686563,0.09078012468914191,1.6507978439331055,0.6718724916378657
TEX__shard_00_f0336,direct,3,1101.45361328125,17.42932623538835,23.31431897709207,0.021166864129337503,-5.884992741703723,7.370865405209086,11.014536217855808,0.09329918585717678,-3.7528297901153564,0.5586231524745623
G38__G__f4607,direct,3,800.0,1.6716487172706347,1.673688708211239,0.002092110885264049,-0.0020399909406043637,1.2072638237487952,1.9433027519316353,0.0770860059807698,-2.1813251972198486,0.5628203103939692
G38__G__f13619,direct,3,1101.45361328125,3.52466757549106,4.4866144433388175,0.004073357596942383,-0.9619468678477574,2.445458589738834,5.5137383980630075,0.09479836126168568,-2.541700839996338,0.6230361411968867
TEX__shard_01_f0274,direct,3,800.0,2.600188363486564,2.421198134237472,0.0030264976677968403,0.17899022924909191,1.0454409095896176,2.215362727963423,0.0774889262393117,-1.2557408809661865,0.5253580709298452
TEX__shard_07_f0323,direct,3,1101.45361328125,5.4204623856247425,6.91931999621381,0.006281989466266339,-1.4988576105890674,5.839317437936541,11.014536237839184,0.08420274034142494,-2.8833868503570557,0.5403801277279854
TEX__shard_06_f0561,direct,3,865.3323364257812,2.8234400663765427,2.512922349117092,0.00290399681525437,0.3105177172594509,0.7401831899018058,1.1519214248363716,0.060719660793741546,-1.2448139190673828,0.5220622817675272
G38__G__f18292,direct,3,800.0,4.2661318944417435,4.74878863832685,0.0059359857979085625,-0.4826567438851068,1.5190106762363706,2.9184276125572817,0.07981851138174534,-1.7405023574829102,0.5600707282622656
G38__G__f23543,direct,3,791.9595947265625,147.66948180113155,147.28856191407317,0.18597989454869482,0.38091988705838276,1.503770184873503,2.372194089103707,0.07502674342443545,0.30409303307533264,0.6517056624094645
G38__G__f16293,direct,3,865.3323364257812,1.144283497456907,1.9386413761138193,0.0022403431543091246,-0.7943578786569123,1.4048365468552237,3.257796162517883,0.08905422315001488,-2.487382650375366,0.626535082856814
P0__shard_03_f0632,direct,3,800.0,7.116500181887975,7.9705812117722274,0.009963226514715285,-0.8540810298842523,1.002945341607932,2.800631518315754,0.04397361104687055,-2.4317901134490967,0.5471160039305687
