arm,seed,eta,frame_id,evaluable,E_sym,E_fixed,frame_mean_px,fixed_frame_mean_px,branch,n_corners,center_error_px,rescue,true_collapse
B2_THREE_EQUAL,3,1.0,TEX__shard_02_f0827,True,0.0024014061050300706,0.0024014061050300706,1.9211248840240565,1.9211248840240565,0,8,1.019189487205632,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_04_f0601,True,0.0009154182939650182,0.0009154182939650182,0.7323346351720146,0.7323346351720146,0,8,1.6331763206643073,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_05_f0639,True,0.009751617435686498,0.009751617435686498,7.8012939485491986,7.8012939485491986,0,8,5.229364291791748,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f38558,True,0.0013136566547311073,0.0013136566547311073,1.050925323784886,1.050925323784886,0,8,0.6879932681952935,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f13214,True,0.005304387894633545,0.005304387894633545,5.842537062992991,5.842537062992991,0,8,4.840073726741639,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f27638,True,0.002826183427906785,0.002826183427906785,2.4455878231642796,2.4455878231642796,0,8,5.273662178007647,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_02_f0119,True,0.0033793113091088647,0.0033793113091088647,2.7034490472870916,2.7034490472870916,0,8,3.3285583266729803,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f0971,True,0.0020449503397008727,0.0020449503397008727,1.635960271760698,1.635960271760698,0,8,0.6610122362342965,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f3768,True,0.004566100134025611,0.004566100134025611,5.029347362279381,5.029347362279381,0,8,3.677317658726157,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_03_f0532,True,0.0031663272381491255,0.0031663272381491255,3.4875624878727947,3.4875624878727947,0,8,6.612546655522962,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_01_f0757,True,0.0028263087877638854,0.0028263087877638854,2.2610470302111083,2.2610470302111083,0,8,1.3833035612802669,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_04_f0508,True,0.0023886735284582954,0.0023886735284582954,2.6310130214132808,2.6310130214132808,0,8,0.4428148182568215,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f28486,True,0.002500777195978765,0.002500777195978765,2.754490007899963,2.754490007899963,0,8,2.0296539139883536,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f8440,True,0.007062426520697895,0.007062426520697895,7.778935010312385,7.778935010312385,0,7,5.374955779455732,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f0141,True,0.0021896469031147327,0.0021896469031147327,2.411794431409972,2.411794431409972,0,8,3.1387972102624015,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f23445,True,0.003791535156479617,0.003791535156479617,3.0332281251836934,3.0332281251836934,0,8,1.4729251704733577,False,False
B2_THREE_EQUAL,3,1.0,P0__shard_00_f0867,True,0.002175474855877016,0.002175474855877016,1.7403798847016128,1.7403798847016128,0,8,2.5614250149853808,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f30529,True,0.003495206295238118,0.003495206295238118,2.7961650361904944,2.7961650361904944,0,8,0.473972649717851,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_07_f0670,True,0.0024376694460747418,0.0024376694460747418,1.9501355568597933,1.9501355568597933,0,8,0.863969304528422,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f19504,True,0.0034288738158359134,0.0034288738158359134,3.7767453571061917,3.7767453571061917,0,8,0.8104513954755405,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_04_f1236,True,0.0029589470135113097,0.0029589470135113097,2.5604724428630554,2.5604724428630554,0,8,1.2482853450958828,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f9318,True,0.003953475394340715,0.003953475394340715,4.354569646468551,4.354569646468551,0,8,1.8595760879695595,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f10745,True,0.00212037201267477,0.00212037201267477,1.696297610139816,1.696297610139816,0,8,1.0398834862827036,False,False
B2_THREE_EQUAL,3,1.0,TEX__shard_03_f0201,True,0.0016972677960831076,0.0016972677960831076,1.869461698770629,1.869461698770629,0,8,2.710754688038614,False,False
B2_THREE_EQUAL,3,1.0,G38__G__f39546,True,0.2021514777771155,0.2021514777771155,161.7211822216924,161.7211822216924,0,8,31.09422719552148,False,True
B2_THREE_EQUAL,3,1.0,G38__G__f4587,True,0.0015329214176896455,0.0015329214176896455,1.2263371341517164,1.2263371341517164,0,8,0.7871368451856827,False,False
