model,frame_id,domain,session,n_cand,top1_conf,top1_iou,top1_is_correct,any_correct,correct_rank,best_correct_conf,best_wrong_conf,margin
C43,1779449649655479552,NIGHT,eval_night09,1,0.8914321064949036,0.8540510002871257,True,True,1,0.8914321064949036,,0.8914321064949036
C43,1779449656527024896,NIGHT,eval_night09,4,0.4979214370250702,0.0,False,True,2,0.013272038660943508,0.4979214370250702,-0.4846493983641267
C43,1779449661263803392,NIGHT,eval_night09,3,0.8035471439361572,0.5773259080926416,True,True,1,0.8035471439361572,0.028780987486243248,0.774766156449914
E42,1779449467555301888,NIGHT,eval_night08,15,0.07680218666791916,0.583597510816309,True,True,1,0.07680218666791916,0.0570509247481823,0.019751261919736862
E42,1779449470423201536,NIGHT,eval_night08,8,0.03135808929800987,0.013534017150435477,False,False,,,0.03135808929800987,
E42,1779449475060066816,NIGHT,eval_night08,10,0.0504799447953701,0.1677207228361091,False,False,,,0.0504799447953701,
E42,1779449479095927552,NIGHT,eval_night08,9,0.15634337067604065,0.7555013945038677,True,True,1,0.15634337067604065,0.04337165504693985,0.1129717156291008
E42,1779449481331070208,NIGHT,eval_night08,8,0.043844208121299744,0.027824264087669515,False,True,4,0.00623237295076251,0.043844208121299744,-0.03761183517053723
E42,1779449483432542720,NIGHT,eval_night08,3,0.8237220048904419,0.031690498214979115,False,False,,,0.8237220048904419,
E42,1779449485800670464,NIGHT,eval_night08,8,0.1853944957256317,0.031111907982512534,False,True,2,0.07512622326612473,0.1853944957256317,-0.11026827245950699
E42,1779449488068910592,NIGHT,eval_night08,6,0.6176918745040894,0.6324891298913584,True,True,1,0.6176918745040894,0.027839208021759987,0.5898526664823294
E42,1779449492505469440,NIGHT,eval_night08,10,0.1295035481452942,0.0034121014629590273,False,True,7,0.0021365168504416943,0.1295035481452942,-0.1273670312948525
E42,1779449496875356416,NIGHT,eval_night08,3,0.46479690074920654,0.012383318728061744,False,True,3,0.002696569776162505,0.46479690074920654,-0.46210033097304404
E42,1779449499143611648,NIGHT,eval_night08,3,0.74705570936203,0.7651781163074788,True,True,1,0.74705570936203,0.03585197404026985,0.7112037353217602
E42,1779449501478488320,NIGHT,eval_night08,1,0.8999060392379761,0.8507047004185652,True,True,1,0.8999060392379761,,0.8999060392379761
E42,1779449575470221824,NIGHT,eval_night09,9,0.12731391191482544,0.7041206150260151,True,True,1,0.12731391191482544,0.043753381818532944,0.0835605300962925
E42,1779449580573721600,NIGHT,eval_night09,13,0.30145540833473206,0.5456897842568176,True,True,1,0.30145540833473206,0.022660227492451668,0.2787951808422804
E42,1779449591514485504,NIGHT,eval_night09,4,0.04661862179636955,0.3117272081487029,False,True,2,0.005971834994852543,0.04661862179636955,-0.04064678680151701
E42,1779449593782795264,NIGHT,eval_night09,3,0.09318985790014267,0.30721503132226924,False,False,,,0.09318985790014267,
E42,1779449596017728000,NIGHT,eval_night09,3,0.001928452169522643,0.4576024632760532,False,True,2,0.0012940425658598542,0.001928452169522643,-0.0006344096036627889
E42,1779449602689248000,NIGHT,eval_night09,2,0.8206758499145508,0.6970445165259844,True,True,1,0.8206758499145508,0.01021405216306448,0.8104617977514863
E42,1779449604823769344,NIGHT,eval_night09,2,0.016617314890027046,0.3327163713369307,False,False,,,0.016617314890027046,
E42,1779449631842893312,NIGHT,eval_night09,10,0.3447940945625305,0.055434849334826224,False,True,2,0.2539885640144348,0.3447940945625305,-0.0908055305480957
E42,1779449634044385536,NIGHT,eval_night09,6,0.3970775604248047,0.711228141564237,True,True,1,0.3970775604248047,0.17485633492469788,0.2222212255001068
E42,1779449638581035008,NIGHT,eval_night09,7,0.22928555309772491,0.052887591404867575,False,False,,,0.22928555309772491,
E42,1779449643284402176,NIGHT,eval_night09,4,0.014818993397057056,0.7905842832824985,True,True,1,0.014818993397057056,,0.014818993397057056
E42,1779449645419136000,NIGHT,eval_night09,8,0.07540813088417053,0.3730936753083109,False,True,2,0.014394920319318771,0.07540813088417053,-0.06101321056485176
E42,1779449647620845824,NIGHT,eval_night09,4,0.2581426501274109,0.7421853429068361,True,True,1,0.2581426501274109,0.013386965729296207,0.24475568439811468
E42,1779449649655479552,NIGHT,eval_night09,3,0.021210188046097755,0.8306907578146677,True,True,1,0.021210188046097755,0.0023248009383678436,0.018885387107729912
E42,1779449656527024896,NIGHT,eval_night09,1,0.012065015733242035,0.8974350029807101,True,True,1,0.012065015733242035,,0.012065015733242035
E42,1779449661263803392,NIGHT,eval_night09,3,0.03953093662858009,0.0,False,True,3,0.001167324255220592,0.03953093662858009,-0.0383636123733595
FT,1779449467555301888,NIGHT,eval_night08,2,0.9739441275596619,0.7951817732029405,True,True,1,0.9739441275596619,,0.9739441275596619
FT,1779449470423201536,NIGHT,eval_night08,1,0.9375256299972534,0.939482080149502,True,True,1,0.9375256299972534,,0.9375256299972534
FT,1779449475060066816,NIGHT,eval_night08,1,0.9515272378921509,0.8460682430152179,True,True,1,0.9515272378921509,,0.9515272378921509
FT,1779449479095927552,NIGHT,eval_night08,2,0.9691570997238159,0.8237093973688596,True,True,1,0.9691570997238159,,0.9691570997238159
FT,1779449481331070208,NIGHT,eval_night08,1,0.9726077914237976,0.8792152375908104,True,True,1,0.9726077914237976,,0.9726077914237976
FT,1779449483432542720,NIGHT,eval_night08,1,0.9687285423278809,0.744218391160669,True,True,1,0.9687285423278809,,0.9687285423278809
FT,1779449485800670464,NIGHT,eval_night08,1,0.9861504435539246,0.8185061138746309,True,True,1,0.9861504435539246,,0.9861504435539246
FT,1779449488068910592,NIGHT,eval_night08,2,0.9493246674537659,0.8514760447236821,True,True,1,0.9493246674537659,,0.9493246674537659
FT,1779449492505469440,NIGHT,eval_night08,1,0.9812286496162415,0.906679513315423,True,True,1,0.9812286496162415,,0.9812286496162415
FT,1779449496875356416,NIGHT,eval_night08,3,0.869644284248352,0.9128054822468273,True,True,1,0.869644284248352,,0.869644284248352
FT,1779449499143611648,NIGHT,eval_night08,2,0.3432459235191345,0.8940061590961069,True,True,1,0.3432459235191345,,0.3432459235191345
FT,1779449501478488320,NIGHT,eval_night08,1,0.9848697185516357,0.950751255167514,True,True,1,0.9848697185516357,,0.9848697185516357
FT,1779449575470221824,NIGHT,eval_night09,1,0.9695194363594055,0.7832649912664735,True,True,1,0.9695194363594055,,0.9695194363594055
FT,1779449580573721600,NIGHT,eval_night09,1,0.9699623584747314,0.955204813966036,True,True,1,0.9699623584747314,,0.9699623584747314
FT,1779449591514485504,NIGHT,eval_night09,1,0.9616201519966125,0.8659944265106477,True,True,1,0.9616201519966125,,0.9616201519966125
FT,1779449593782795264,NIGHT,eval_night09,1,0.9772689342498779,0.8876198006023729,True,True,1,0.9772689342498779,,0.9772689342498779
