kind,id,set,population,n_cand_at_0.001,top_conf,top_iou,top_R,top_t,top_corner,top_s5,detected_at_0.40,detected_at_tau,recovered
negative,533,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.03467,,,,,,0,1,
negative,534,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.02727,,,,,,0,1,
negative,535,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.03486,,,,,,0,1,
negative,536,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.05234,,,,,,0,1,
negative,537,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.08322,,,,,,0,1,
negative,538,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.07689,,,,,,0,1,
negative,539,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.12355,,,,,,0,1,
negative,540,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.05899,,,,,,0,1,
negative,541,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.05404,,,,,,0,1,
negative,542,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.11291,,,,,,0,1,
negative,543,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.06235,,,,,,0,1,
negative,544,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.04859,,,,,,0,1,
negative,545,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.05555,,,,,,0,1,
negative,546,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.03898,,,,,,0,1,
negative,547,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.05484,,,,,,0,1,
negative,548,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.04429,,,,,,0,1,
negative,549,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.05393,,,,,,0,1,
negative,550,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.04657,,,,,,0,1,
negative,551,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.03879,,,,,,0,1,
negative,552,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.06809,,,,,,0,1,
negative,553,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.26373,,,,,,0,1,
negative,554,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.05322,,,,,,0,1,
negative,555,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.04676,,,,,,0,1,
negative,556,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.04204,,,,,,0,1,
negative,557,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.2723,,,,,,0,1,
negative,558,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.11794,,,,,,0,1,
negative,559,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.17295,,,,,,0,1,
negative,560,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.15742,,,,,,0,1,
negative,561,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.09687,,,,,,0,1,
negative,562,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.11201,,,,,,0,1,
negative,563,forklift_raw_20260528,REAL_NEG_DEV_V1,13,0.13878,,,,,,0,1,
negative,564,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.07832,,,,,,0,1,
negative,565,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.19891,,,,,,0,1,
negative,566,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.20765,,,,,,0,1,
negative,567,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.10712,,,,,,0,1,
negative,568,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.04615,,,,,,0,1,
negative,569,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.5993,,,,,,1,1,
negative,570,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.15343,,,,,,0,1,
negative,572,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.23424,,,,,,0,1,
negative,573,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.33112,,,,,,0,1,
negative,574,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.37912,,,,,,0,1,
negative,575,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.60575,,,,,,1,1,
negative,576,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.07896,,,,,,0,1,
negative,577,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.03963,,,,,,0,1,
negative,578,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.31438,,,,,,0,1,
negative,579,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.1873,,,,,,0,1,
negative,580,forklift_raw_20260528,REAL_NEG_DEV_V1,15,0.08269,,,,,,0,1,
negative,581,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.31932,,,,,,0,1,
negative,582,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.16377,,,,,,0,1,
negative,583,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.38306,,,,,,0,1,
negative,584,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.21086,,,,,,0,1,
negative,585,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.07044,,,,,,0,1,
negative,586,forklift_raw_20260528,REAL_NEG_DEV_V1,14,0.05978,,,,,,0,1,
negative,587,forklift_raw_20260528,REAL_NEG_DEV_V1,16,0.22624,,,,,,0,1,
negative,588,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.48301,,,,,,1,1,
negative,589,forklift_raw_20260528,REAL_NEG_DEV_V1,15,0.13069,,,,,,0,1,
negative,590,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.2687,,,,,,0,1,
negative,591,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.15022,,,,,,0,1,
negative,593,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.16757,,,,,,0,1,
negative,594,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.21164,,,,,,0,1,
negative,595,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.41292,,,,,,1,1,
negative,596,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.56474,,,,,,1,1,
negative,597,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.18844,,,,,,0,1,
negative,598,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.14145,,,,,,0,1,
negative,599,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.14182,,,,,,0,1,
negative,601,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.09657,,,,,,0,1,
negative,602,forklift_raw_20260528,REAL_NEG_DEV_V1,9,0.0173,,,,,,0,1,
negative,603,forklift_raw_20260528,REAL_NEG_DEV_V1,19,0.02336,,,,,,0,1,
negative,604,forklift_raw_20260528,REAL_NEG_DEV_V1,13,0.02571,,,,,,0,1,
negative,605,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.03,,,,,,0,1,
negative,606,forklift_raw_20260528,REAL_NEG_DEV_V1,17,0.04406,,,,,,0,1,
negative,608,forklift_raw_20260528,REAL_NEG_DEV_V1,14,0.03783,,,,,,0,1,
negative,609,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.01861,,,,,,0,1,
negative,610,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.01323,,,,,,0,1,
negative,611,forklift_raw_20260528,REAL_NEG_DEV_V1,13,0.10064,,,,,,0,1,
negative,612,forklift_raw_20260528,REAL_NEG_DEV_V1,17,0.06324,,,,,,0,1,
negative,613,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.0379,,,,,,0,1,
negative,614,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.01362,,,,,,0,1,
negative,615,forklift_raw_20260528,REAL_NEG_DEV_V1,14,0.02863,,,,,,0,1,
negative,616,forklift_raw_20260528,REAL_NEG_DEV_V1,15,0.02878,,,,,,0,1,
negative,617,forklift_raw_20260528,REAL_NEG_DEV_V1,12,0.00841,,,,,,0,1,
negative,618,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.02083,,,,,,0,1,
negative,619,forklift_raw_20260528,REAL_NEG_DEV_V1,11,0.04211,,,,,,0,1,
negative,620,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.08028,,,,,,0,1,
negative,621,forklift_raw_20260528,REAL_NEG_DEV_V1,8,0.0335,,,,,,0,1,
negative,622,forklift_raw_20260528,REAL_NEG_DEV_V1,10,0.01237,,,,,,0,1,
negative,623,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.00305,,,,,,0,1,
negative,629,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.5463,,,,,,1,1,
negative,630,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.17847,,,,,,0,1,
negative,639,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,640,forklift_raw_20260528,REAL_NEG_DEV_V1,1,0.00142,,,,,,0,1,
negative,641,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,642,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,643,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,644,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,645,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.00178,,,,,,0,1,
negative,646,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,647,forklift_raw_20260528,REAL_NEG_DEV_V1,1,0.002,,,,,,0,1,
negative,648,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,649,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,650,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,652,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,653,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,654,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,655,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,656,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,657,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,658,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,659,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,660,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,661,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,662,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,663,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,664,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,665,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,666,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,667,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,668,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,669,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,670,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,671,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,672,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,673,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,674,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,675,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.00195,,,,,,0,1,
negative,676,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.01154,,,,,,0,1,
negative,677,forklift_raw_20260528,REAL_NEG_DEV_V1,0,0.0,,,,,,0,0,
negative,678,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.01367,,,,,,0,1,
negative,679,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.00285,,,,,,0,1,
negative,680,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.00485,,,,,,0,1,
negative,688,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.01986,,,,,,0,1,
negative,706,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.2233,,,,,,0,1,
negative,708,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.29568,,,,,,0,1,
negative,710,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.18371,,,,,,0,1,
negative,711,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.28983,,,,,,0,1,
negative,712,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.24071,,,,,,0,1,
negative,713,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.15656,,,,,,0,1,
negative,714,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.2053,,,,,,0,1,
negative,715,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.292,,,,,,0,1,
negative,716,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.24322,,,,,,0,1,
negative,717,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.59976,,,,,,1,1,
negative,718,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.43204,,,,,,1,1,
negative,722,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.47029,,,,,,1,1,
negative,723,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.28087,,,,,,0,1,
negative,724,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.24504,,,,,,0,1,
negative,725,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.4439,,,,,,1,1,
negative,726,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.49214,,,,,,1,1,
negative,727,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.45304,,,,,,1,1,
negative,728,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.51823,,,,,,1,1,
negative,729,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.48715,,,,,,1,1,
negative,730,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.37914,,,,,,0,1,
negative,733,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.22825,,,,,,0,1,
negative,734,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.41474,,,,,,1,1,
negative,736,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.65077,,,,,,1,1,
negative,744,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.51441,,,,,,1,1,
negative,747,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.44089,,,,,,1,1,
negative,749,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.49282,,,,,,1,1,
negative,750,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.4391,,,,,,1,1,
negative,751,forklift_raw_20260528,REAL_NEG_DEV_V1,2,0.38117,,,,,,0,1,
negative,753,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.2921,,,,,,0,1,
negative,754,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.35298,,,,,,0,1,
negative,755,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.29475,,,,,,0,1,
negative,756,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.46768,,,,,,1,1,
negative,757,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.27551,,,,,,0,1,
negative,758,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.38823,,,,,,0,1,
negative,759,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.22061,,,,,,0,1,
negative,760,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.35279,,,,,,0,1,
negative,761,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.1945,,,,,,0,1,
negative,762,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.14445,,,,,,0,1,
negative,763,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.31759,,,,,,0,1,
negative,764,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.20146,,,,,,0,1,
negative,765,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.08338,,,,,,0,1,
negative,766,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.24482,,,,,,0,1,
negative,767,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.28626,,,,,,0,1,
negative,768,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.21995,,,,,,0,1,
negative,769,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.27086,,,,,,0,1,
negative,770,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.61162,,,,,,1,1,
negative,771,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.44864,,,,,,1,1,
negative,772,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.37734,,,,,,0,1,
negative,775,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.49836,,,,,,1,1,
negative,776,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.49904,,,,,,1,1,
negative,778,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.22532,,,,,,0,1,
negative,779,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.5378,,,,,,1,1,
negative,780,forklift_raw_20260528,REAL_NEG_DEV_V1,3,0.42359,,,,,,1,1,
negative,781,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.51821,,,,,,1,1,
negative,783,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.4865,,,,,,1,1,
negative,784,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.13816,,,,,,0,1,
negative,785,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.27753,,,,,,0,1,
negative,786,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.33725,,,,,,0,1,
negative,787,forklift_raw_20260528,REAL_NEG_DEV_V1,4,0.7098,,,,,,1,1,
negative,788,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.51236,,,,,,1,1,
negative,789,forklift_raw_20260528,REAL_NEG_DEV_V1,5,0.28247,,,,,,0,1,
negative,791,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.42363,,,,,,1,1,
negative,795,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.45828,,,,,,1,1,
negative,796,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.50754,,,,,,1,1,
negative,801,forklift_raw_20260528,REAL_NEG_DEV_V1,6,0.50253,,,,,,1,1,
negative,806,forklift_raw_20260528,REAL_NEG_DEV_V1,7,0.38393,,,,,,0,1,
