fid,set,population,reproj,box_conf,kp_conf_mean,kp_conf_4th,Y0_R,Y0_t,Y0_adds,Y0_iou,Y0_s5,YH_R,YH_t,YH_adds,YH_iou,YH_s5,ORACLE_R,ORACLE_t,ORACLE_adds,ORACLE_iou,ORACLE_s5,hough_wins_R,hough_wins_5cm5
1778653030099587072,eval_cad,REAL_DEV_OPEN_56,9.380442230475563,0.9672695994377136,0.9953561052680016,0.9965542554855347,3.2129208762777894,0.042309142408455486,0.04603934749262503,0.4949183755893114,1,5.736622083251636,0.05441655987145124,0.07077611303213213,0.45272214357967994,0,3.2129208762777894,0.042309142408455486,0.04603934749262503,0.4949183755893114,1,0,0
1778653030166875904,eval_cad,REAL_DEV_OPEN_56,9.199949049949936,0.9693264365196228,0.9945866391062737,0.9957807064056396,3.5980909816139692,0.04053354087764927,0.048013431600955433,0.5367969730669176,1,5.222342149261319,0.049705682717196546,0.06259896977923456,0.4996475444116629,0,3.5980909816139692,0.04053354087764927,0.048013431600955433,0.5367969730669176,1,0,0
1778653030233998336,eval_cad,REAL_DEV_OPEN_56,8.738147719829094,0.9687970280647278,0.9944995269179344,0.9967122077941895,2.6365779058341263,0.03673953972437549,0.04045706487447624,0.543511777540813,1,3.847806058944267,0.046239637935818374,0.0515665896379072,0.5128125433106333,1,2.6365779058341263,0.03673953972437549,0.04045706487447624,0.543511777540813,1,0,0
1778653030939714816,eval_cad,REAL_DEV_OPEN_56,9.625301016585768,0.9686207175254822,0.9961940571665764,0.9965848922729492,2.8286251479414295,0.021494157934152675,0.03621253709365479,0.6834265553880386,1,4.2861822435389465,0.02983034407543492,0.055586429730423895,0.6497888548743411,1,2.8286251479414295,0.021494157934152675,0.03621253709365479,0.6834265553880386,1,0,0
1778653031275751936,eval_cad,REAL_DEV_OPEN_56,6.795931741004019,0.9677542448043823,0.9905872270464897,0.990788996219635,1.881426699422601,0.015171824721915743,0.02493340693874438,0.8069079540520342,1,9.428919191806152,0.05898471948255937,0.0877825978409193,0.34353520069544474,0,1.881426699422601,0.015171824721915743,0.02493340693874438,0.8069079540520342,1,0,0
1778653033056483584,eval_cad,REAL_DEV_OPEN_56,9.309736735651267,0.9453492760658264,0.9724758118391037,0.970133900642395,1.693862363489309,0.0377037115215661,0.03981108849658407,0.5085246056115532,1,3.9585322575534163,0.04600137388023319,0.05481591674218181,0.4697434181523353,1,1.693862363489309,0.0377037115215661,0.03981108849658407,0.5085246056115532,1,0,0
1778653041187027200,eval_cad,REAL_DEV_OPEN_56,11.250635554597027,0.962000846862793,0.9950417578220367,0.9963983297348022,3.776143668813159,0.04153473371309494,0.05092311015588724,0.4988015610708834,1,3.906172005763497,0.040007408156456696,0.057459179597611015,0.5211652102597887,1,3.776143668813159,0.04153473371309494,0.05092311015588724,0.4988015610708834,1,0,0
1778653055734035712,eval_cad,REAL_DEV_OPEN_56,8.848737934933371,0.9699946641921997,0.9763269945979118,0.9779428839683533,0.8050711625210388,0.01574882240748934,0.01677897017379729,0.7686814897151223,1,0.9197296515284459,0.018967474391064137,0.019982858499069354,0.7352253468257358,1,0.8050711625210388,0.01574882240748934,0.01677897017379729,0.7686814897151223,1,0,0
1778653055801377280,eval_cad,REAL_DEV_OPEN_56,9.08906289874043,0.951400637626648,0.9810570254921913,0.97674959897995,1.8013266344208199,0.020634143614167544,0.02842613379839671,0.8121709300263961,1,0.45412987542141436,0.02330976728173827,0.02373604021297921,0.9212654035549761,1,0.45412987542141436,0.02330976728173827,0.02373604021297921,0.9212654035549761,1,1,0
1778653055868669952,eval_cad,REAL_DEV_OPEN_56,9.97051095473843,0.940169095993042,0.9793854653835297,0.9744394421577454,2.2860213623750636,0.018907989661231236,0.02991537053595098,0.7033467007715619,1,4.8260626571210805,0.035528458719581775,0.05535319254644876,0.5003807541369374,1,2.2860213623750636,0.018907989661231236,0.02991537053595098,0.7033467007715619,1,0,0
1778653056137140480,eval_cad,REAL_DEV_OPEN_56,10.602331765770032,0.6253710985183716,0.9858042448759079,0.9821144938468933,1.5809467085407265,0.017285299039428687,0.025051998395449145,0.7927501788971826,1,3.3355138575315166,0.023297894631451516,0.039956845430124115,0.6211231151715892,1,1.5809467085407265,0.017285299039428687,0.025051998395449145,0.7927501788971826,1,0,0
1778653072734532096,eval_cad,REAL_DEV_OPEN_56,25.65390337391002,0.5432372093200684,0.7139394080732018,0.8998205661773682,5.090616221078356,0.1999769863586857,0.204563241108499,0.27152742140966873,0,5.791090820330918,0.15174164035088836,0.15881256249349565,0.3166455777470795,0,5.090616221078356,0.1999769863586857,0.204563241108499,0.27152742140966873,0,0,0
1778653072835089920,eval_cad,REAL_DEV_OPEN_56,23.23793774935249,0.7286849617958069,0.7120300375390798,0.8933855295181274,5.5616594225248,0.2224973946123321,0.22762825291819794,0.272190167516745,0,5.6275464700724545,0.16976437046913562,0.17668826787538053,0.32056446152637724,0,5.5616594225248,0.2224973946123321,0.22762825291819794,0.272190167516745,0,0,0
1778653072868820224,eval_cad,REAL_DEV_OPEN_56,24.129793277467062,0.6588454842567444,0.7102672390174121,0.8777356147766113,6.7991875775808195,0.26808935227705627,0.27312132598646893,0.1946271844721056,0,6.334367827510655,0.2006011730138188,0.20678681048720804,0.23246868743055746,0,6.334367827510655,0.2006011730138188,0.20678681048720804,0.23246868743055746,0,1,0
1778652124170068224,eval_pallet07,REAL_CHALLENGE_DEV_105,6.937847940692423,0.9415188431739807,0.9916750863194466,0.9901034832000732,0.9880434767379883,0.047779455555491436,0.048778444792115676,0.8082491111473921,1,1.9411453451621214,0.039585306949790205,0.04444086873205051,0.7484535614121892,1,0.9880434767379883,0.047779455555491436,0.048778444792115676,0.8082491111473921,1,0,0
1778652125245035520,eval_pallet07,REAL_CHALLENGE_DEV_105,11.32211299826205,0.9386320114135742,0.9887413308024406,0.9948023557662964,2.1925289537506156,0.048738626606858154,0.054701391825033224,0.8411277017559319,1,3.499365642887876,0.03748455311963843,0.054763553955692296,0.7783610355157209,1,2.1925289537506156,0.048738626606858154,0.054701391825033224,0.8411277017559319,1,0,0
