arm,id,detected,legacy_population,E_fixed,E_sym,fixed_mean_px,sym_mean_px,branch,annotated_corners,legacy_fixed9_px,legacy_buggy9_px,corrected9_px,mask_bug_changed_metric,mask_noninvariant,mask_changed_slots,rescue,true_collapse
F0,capture_20260902_manual_gt__011393,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004990854158177541,0.004990854158177541,3.992683326542033,3.992683326542033,0,8,3.743562038058614,3.743562038058614,3.743562038058614,False,False,0,False,False
F0,capture_20260902_manual_gt__013883,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.005117606145933644,0.005117606145933644,4.094084916746915,4.094084916746915,0,8,4.337158718357393,4.337158718357393,4.337158718357393,False,False,0,False,False
F0,capture_20260902_manual_gt__014063,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004450839153570396,0.004450839153570396,3.5606713228563165,3.5606713228563165,0,8,3.4444620844660925,3.4444620844660925,3.4444620844660925,False,False,0,False,False
F0,forklift_v4_173507_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0031820935140118222,0.0031820935140118222,2.545674811209458,2.545674811209458,0,8,2.465986320880412,2.465986320880412,2.465986320880412,False,False,0,False,False
F0,forklift_v4_173507_manual_gt__001560,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.002260364381714484,0.002260364381714484,1.8082915053715873,1.8082915053715873,0,8,1.9502249865775343,1.9502249865775343,1.9502249865775343,False,False,0,False,False
F0,forklift_v4_173507_manual_gt__002370,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0018321019195001972,0.0018321019195001972,1.4656815356001578,1.4656815356001578,0,8,1.7906056973421067,1.7906056973421067,1.7906056973421067,False,False,0,False,False
F0,forklift_v4_173507_manual_gt__003690,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0035783953323339722,0.0035783953323339722,2.862716265867178,2.862716265867178,0,8,2.7581217360792385,2.7581217360792385,2.7581217360792385,False,False,0,False,False
F0,forklift_v4_174126_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.004419833819042599,0.004419833819042599,3.535867055234079,3.535867055234079,0,8,3.3074649940186234,3.3074649940186234,3.3074649940186234,False,False,0,False,False
F0,forklift_v4_174342_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.003215123827445311,0.003215123827445311,2.5720990619562487,2.5720990619562487,0,8,2.3918976602663045,2.3918976602663045,2.3918976602663045,False,False,0,False,False
F0,forklift_v4_174342_manual_gt__000930,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0018074472489868114,0.0018074472489868114,1.4459577991894492,1.4459577991894492,0,8,1.4871614644403222,1.4871614644403222,1.4871614644403222,False,False,0,False,False
F0,forklift_v4_174342_manual_gt__001980,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.0020866062939867663,0.0020866062939867663,1.669285035189413,1.669285035189413,0,8,1.6298494323483093,1.6298494323483093,1.6298494323483093,False,False,0,False,False
F0,forklift_v4_174925_manual_gt__000000,True,challenge/yolo_pose_one_model/datasets/live_gt_v4,0.09582899645866653,0.0021599001064459733,76.66319716693323,1.7279200851567786,1,8,68.3100879093974,1.700952725596113,1.700952725596113,False,False,0,True,False
